#,Contract Address,Token Name,Market Cap,Holders,Website
1,0x8317b216D7c3F9a5B8401E4b6814D13A7BE390ec,EXNCE (XNC),$0.00,1806,nan
1,0x27054b13b1b798b345b591a4d22e6562d47ea75a,AirSwap (AST),"$27,976,436.00",12498,nan
2,0x579120871266ccd8De6c85EF59E2fF6743E7CD15,Staked AST (sAST),$0.00,278,nan
1,0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT (BAT),"$1,261,843,116.00",443852,nan
2,0x3d371413dd5489f3a04c07c0c2ce369c20986ceb,yOUcash (YOUC),"$625,000,726.00",535,nan
3,0xcfcecfe2bd2fed07a9145222e8a7ad9cf1ccd22a,Adshares (ADS),"$123,383,953.00",535,nan
4,0xf4d861575ecc9493420a3f5a14f85b13f0b50eb3,Fractal Protocol Token (FCL),"$9,326,394.00",3217,nan
5,0xb6c3dc857845a713d3531cea5ac546f6767992f4,Advertise Coin (ADCO),"$3,967,649.00",146,nan
6,0x1b957dc4aefeed3b4a2351a6a6d5cbfbba0cecfa,HOQU Token (HQX),"$1,754,870.00",18779,nan
7,0x9cda8a60dd5afa156c95bd974428d91a0812e054,TaTaTu (TTU),"$1,721,318.00",2674,nan
1,0xe912b8bA2513D7e29b7b2E5B14398dbf77503Fb4,InventoryClub Token (VNT),"$3,398,669.00",54,nan
2,0x72c9fb7ed19d3ce51cea5c56b3e023cd918baadf,Agrolot Token (AGLT),$12.00,82,nan
3,0x3be6e7bf2cd8e1a0a95597e72ca6d3709bbeff76,DMTC Token (DMTC),$0.00,2444,nan
4,0x50551265ba0aef89c43f9a965e58922867a6eb3a,GoldAgriculturalChain (GACT),$0.00,17,nan
5,0xb99c9e436a630202e40c90ba9b65dcb610200066,Agrotoken SOYA (SOYA),$0.00,13,nan
6,0x720c2c93F5f9A6b82226e84095558B10F399b0FA,Gric Coin (GC),$0.00,9209,nan
7,0x865d176351f287fe1b0010805b110d08699c200a,BananaCoin Extended (BCO),$0.00,2626,nan
1,0x42d6622dece394b54999fbd73d108123806f6a18,SPANK (SPANK),"$7,517,767.00",6026,nan
2,0x87eDfFDe3E14c7a66c9b9724747a1C5696b742e6,Swag Token (SWAG),"$1,524,978.00",1267,nan
3,0x3079f61704e9efa2bcf1db412f735d8d4cfa26f4,HappyFans (HAPPY),"$561,673.00",580,nan
4,0x3c6Da7763cAA0e4b684BbC733f04a8EC08Af3762,MODEL-X-coin (MODX),$0.00,1869,nan
5,0x4E12EB8e506Ccd1427F6b8F7faa3e88fB698EB28,Jack Token (JACK),$0.00,403,nan
6,0xc1fa06e8596c3fa98ccd2113c38b6b60b6efa00d,Erotica (EROTICA),$0.00,1583,nan
7,0xA3149E0fA0061A9007fAf307074cdCd290f0e2Fd,PronCoin (PRON),$0.00,377,nan
1,0x28472a58a490c5e09a238847f66a68a47cc76f0f,adidas Originals: Into the Metavers... (ADI),$0.00,-,nan
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1,0xd48b633045af65ff636f3c6edd744748351e020d,Zethr (ZTH),$0.00,1687,nan
1,0xbf8fb919a8bbf28e590852aef2d284494ebc0657,ABCC Token (AT),"$365,532.00",434,nan
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,yearn.finance (YFI),"$751,413,228.00",47021,nan
1,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SushiToken (SUSHI),"$690,415,022.00",93466,nan
